Refacility,facilityname,Syste
13966,Ogero Dispensary,25543
17516,Gongo Health centre,25539
15279,Naisoya Dispensary,25529
10533,Kiamara Health Centre,25526
15150,Mashuru Health Centre,25523
18604,Ngenia Dispensary,25518
15035,Likii Dispensary,25511
14404,Doldol Sub County Hospital,25510
14012,Pand Pieri Community Dispensary,25507
12691,Nzeluni Health Centre,25504
13887,Nyalenda Health Centre,25503
13890,Nyalunya Health Centre,25498
13856,Nightingale Medical Centre,25494
14573,Immurtot Health Centre,25471
15250,Mulemi Maternity and Nursing Home,25458
18512,Itando Mission Of Hope And Health Centre,25442
14562,Ilaiser Dispensary,25434
14569,Iltilal Health Centre,25431
21059,Namusala Dispensary,25427
17156,Bukalama Dispensary,25425
18199,Nyumbani Village Catholic Dispensary,25422
14024,Rae Dispensary,25418
13993,Oruba Nursing and Maternity Home,25417
17343,Piny Owacho Dispensary,25416
16762,Emusanda Health Centre,25412
14988,Konyao Dispensary,25411
14471,Entontol Dispensary,25409
19786,Jamii Medical Clinic,25392
12404,Kyambeke Health Centre,25386
12777,Sultan Hamud Sub County Hospital,25385
20013,Maliera SDA Dispensary,25374
14093,Sirembe Dispensary,25371
15234,Motosiet Health Centre,25368
19529,Baraka Medical Centre,25366
20209,Onyuongo Dispensary,25364
14500,Fluorspar Health Centre,25363
21141,Neema Nursing Home ( Mwingi North ),25357
14046,Riat Dispensary,25355
13880,Nyahera Sub County Hospital,25345
13954,Ober Kamoth Sub County Hospital,25344
14060,Rota Health Centre,25339
20722,Makueni GK Prison Dispensary,25338
14868,Kimana Health Centre,25336
17931,Mirere Health Centre,25329
18414,Masaba Hospital Kisumu,25286
21036,Khajula Dispensary,25265
16128,Sio Port Sub County Hospital,25260
17531,Kabura Uhuyi Dispensary,25255
14701,Kapenguria County Referral Hospital,25253
19869,Kisumu Police Line Dispensary,25251
14431,Elburgon Sub-District Hospital,25247
14031,Randung' Dispensary,25246
14036,Rangwe Sub-District Hospital,25244
13849,Ngegu Dispensary,25233
19861,Koduogo Dispensary,25230
13852,Ng'iya Health Centre,25221
11936,Mavoko Level 4 Hospital,25218
14692,Kapchelal Health Centre,25215
17426,Baraka Medical Clinic,25212
14203,Andersen Medical Centre,25207
14762,Kapsitwet Dispensary,25206
15641,Sister Freda's Cottage Hospital,25205
18969,Geva Family Health Services,25196
18804,AHF Soko Clinic,25191
12135,Kako Health Centre,25188
14027,Railways Dispensary (Kisumu),25166
14954,Kiwamu health centre,25164
14611,Kabazi Sub County Hospital,25163
17533,Karuoth Dispensary,25161
17553,Kisumu International Airport Dispensary,25158
14030,Ramula Health Centre,25155
13947,Nyawara Health Centre,25153
14523,GK Prisons Dispensary,25152
12420,Kyuso Sub County Hospital,25136
17150,Malaha dispensary,25131
10782,Muriranjas Sub-District Hospital,25113
12147,Kalawa Health Centre,25111
14091,Simenya Health Centre,25098
14087,Sikalame Dispensary,25095
14147,Tingare Dispensary,25094
18321,Got Osimbo Dispensary,25079
20097,Inuka Nursing Home,25067
14085,Sigomere Sub county Hospital,25061
14033,Rangala Health Centre,25060
20051,Oasis Doctors Plaza Medical Centre (Migori),25058
17515,Onding Dispensary,25057
14106,St Elizabeth Chiga Health Centre,25046
18210,Mlaleo CDF Health Centre,25045
19858,Makongeni Health centre,25035
14079,Siabai Makonge Dispensary,25027
13777,Marindi Sub County Hospital,25017
19231,St Marks Kigari Teachers College Dispensary,25010
19735,Wundanyi GK Prisons Dispensary,25008
14086,Sigoti Health Centre,25007
17331,Sugoi A Dispensary,25005
13864,Nyabondo Mission Hospital,24996
13881,Nyakach (AIC) Dispensary,24980
17524,Ashburn Ohuru Nursing Home,24979
14714,Kapkesosio Dispensary,24971
17535,Nyadhi Dispensary,24969
14315,Chemase Health Centre,24967
15030,Lessos Community Dispensary,24966
19909,Wikondiek Dispensary,24964
14172,Wiga Dispensary,24962
14630,Kabirirsang Dispensary,24957
20826,Lorugum Health Centre,24954
17104,Kwa Mwatu Dispensary,24952
17110,Koru Dispensary,24945
13965,Ogen Dispensary,24944
18564,Chianda Dispensary (Rarieda),24941
17525,Lidha Dispensary,24939
17437,Rambugu Dispensary (Rarieda),24938
17438,Wagoro Dispensary (Rarieda),24937
16962,Kambimawe Dispensary,24929
13968,Ogra Health Centre,24928
13992,Oroche Dispensary,24926
16870,St Jane Nursing Home,24924
17233,Maweni CDF Dispensary,24916
17069,Yala Dispensary,24907
13892,Nyamagundo sub county hospital,24900
14259,Bissil Health Centre,24887
18774,Port Florence Clinic,24884
15195,Mogogosiek Health Centre,24881
18280,Boito Dispensary,24878
17409,Emalindi Health Centre,24875
15152,Matanya Dispensary,24863
18896,SWOP Thika Road VCT,24856
20114,Mosocho Market Dispensary,24843
14549,Holy Spirit Health Centre,24841
19145,Kitundu Dispensary,24830
12149,Kali Health Centre,24824
13783,Masimba Sub-County Hospital,24820
10852,New Tumaini Health Centre,24819
14435,Eldoret Hospital,24818
18408,St John's Community Centre,24816
14124,St Paul's Health Centre,24809
19952,Joy Medical Clinic-Chuka,24808
21024,Kamuriai GOK Dispensary,24804
12808,Tulimani Health Centre,24801
14094,Siriba Dispensary,24796
12178,Kaningo Health Centre,24795
14610,Kabatini Health Centre,24785
20914,St Catherine's Mission Ichuni,24775
14741,Kaplong Hospital,24766
16931,Kanyekini Dispensary,24765
18619,Vichabem Medical Clinic,24762
14704,Kapkangani Health Centre,24746
14668,Kamara Dispensary,24743
16814,Kiandutu Health Centre,24738
15145,Marura Dispensary,24733
14082,Sibuoche Dispensary,24725
21047,Orongo Dispensary,24724
13997,Osogo Dispensary,24721
14867,Kimalel Health Centre,24719
15074,Londiani District Hospital,24717
16006,Matioli Dispensary,24713
18596,Kambu Sub County Hospital,24708
18090,Ukasi Model Health Centre,24699
12676,Nthongoni Health Centre,24698
14160,Uriri Dispensary,24694
18189,Topcare Nursing Home,24686
14928,Kiptere Dispensary,24684
13953,Ober Health Centre,24679
17216,Katheri Health Centre,24674
17174,Lwala Kadawa Health Centre,24671
15042,Loboi Dispensary,24644
18895,Korogocho Health Centre,24641
20591,Kianjuri Dispensary,24639
17165,Ikonzo Model Health Centre,24637
17158,Bukhalalire Dispensary,24622
18681,Makongo Dispensary,24618
21176,Home Ground Nursing Home,24601
15167,Mediheal Hospital,24590
14733,Kapkures Health Centre (Nakuru West),24587
19990,Racecourse Hospital,24583
14263,Bondeni Dispensary (Nakuru Central),24577
15004,Lakeview Nursing Home,24574
19334,Light Hospital,24570
17408,Gitura Dispensary,24564
15232,Mother Kevin Hospital (Catholic),24561
18720,House Of Hope Medical Centre,24553
14066,Sango Rota Health centre,24548
18725,Pedo Dispensary,24544
17765,Singawa Medical Clinic,24543
14117,St Luke's Hospital,24542
17657,The Mater Hospital Buruburu,24532
14390,Chukura Dispensary,24527
14999,Kuinet Dispensary,24526
19882,Hope Worldwide Kenya-MARPS,24524
17523,Mur Malanga Dispensary,24520
14465,Enoosaen Health Centre,24519
17380,Kililii Dispensary,24516
12365,kitise health centre,24507
17431,AIC Kalamba Dispensary,24506
17029,Segera Mission Dispensary,24502
14581,Isinet Health Centre,24488
21027,Kyumbi Health Centre,24481
15254,Murgor Hills Dispensary,24456
14038,Rariw Dispensary,24451
16985,Oneno Dispensary,24448
14035,Rangwe (SDA) Dispensary,24443
19866,Obuya Dispensary,24439
14128,St Vincents De Paul Health Centre,24434
14561,Ilpolei Dispensary,24433
12486,Matinyani Health Centre,24431
20255,Inavi Dispensary,24423
14118,St Mark's Lela Health Centre,24417
17778,Yiuku Dispensary,24410
17576,St Joseph Brothers,24409
17679,Misikhu Medical Clinic,24401
20579,Kaliani Dispensary,24398
17609,Blueturtle Dispensary,24397
17598,Yaathi Dispensary,24395
14069,Saro Dispensary,24392
14551,Flamingo Medical Centre,24387
18597,Mercylight Hospital,24383
14369,Chepterwai Sub-County Hospital,24382
14519,GK Prisons Dispensary (Eldoret East),24381
14799,Kapyemit Dispensary,24375
14484,Ewaso Ngiro Dispensary,24356
14973,Kojonga Dispensary,24355
17190,Bahai Dispensary,24343
14791,Kaptumo Dispensary,24342
15912,Kabula Health Centre,24341
18865,Nyabola CDF Dispensary,24335
18302,Maweni Community Clinic,24333
14458,Engashura Health Centre,24327
19950,Checkpoint Royal Hope Medical Centre,24324
14346,Chepkorio Health Centre,24317
17039,Ombo Kowiti Dispensary,24313
13833,Muhuru Sub-County Hospital,24311
13945,Nyatike Health Centre,24301
14103,St Camillus Mission Hospital,24299
17678,Rikenye Dispensary (Masaba),24295
13971,Ojola Sub County Hospital,24292
18762,Lang'ata Health Centre (Ruiru),24291
10402,Kagumo Health Centre,24289
10873,Nguka Health Centre,24282
19188,Machungulu Dispensary,24281
10975,Rukanga Health Centre,24272
14076,Sengera Health Centre,24270
18447,Moogi Dispensary,24269
20016,Careplus Medical Services,24264
15156,Mau Narok Health Centre,24263
19974,Central Bank Staff Clinic,24261
14078,Shirikisho Health Centre,24257
18942,Kamiti Maximum Clinic,24255
14088,Simba Opepo Health Centre,24253
15213,Molo Medical Centre,24251
13875,Nyagoro Health Centre,24238
18531,Koywech Dispensary,24237
14002,Othoro Health Centre (Rachuonyo),24234
13926,Nyangiela Sub County Hospital,24233
14479,Entasekera Health Centre,24221
13956,Obumba Dispensary,24220
14098,Sori Lakeside Nursing and Maternity Home,24218
14173,Winjo Dispensary,24217
15851,Chekalini Health Centre,24214
20206,Bar Hostess Empowerment and Support Programme (Makadara),24213
13006,Kariobangi Health Centre,24211
12689,Nzatani Dispensary,24210
18874,Got Kamondi Dispensary,24209
13795,Mawego Health Centre,24208
14119,St Mary's health Centre (Mbita),24200
18508,Kanyongonyo Dispensary,24198
14127,St Vincent Clinic (Kisumu East),24197
20568,Obware Dispensary,24175
17015,Maragi Dispensary,24173
14659,Kalalu Dispensary,24169
13969,Ogwedhi Health Centre,24164
17117,Nalondo Health Centre (Model),24159
14174,Wire Dispensary,24157
15263,Muthegera Dispensary,24154
18382,Afraha Maternity and Nursing Home,24153
18858,Maungu Model Health Centre,24150
18485,Ruaraka Uhai Neema Hospital,24144
17217,Eshikulu Dispensary,24143
14189,Aga Khan Hospital Medical Clinic (Ongata Rongai),24141
13932,Nyankono Dispensary,24140
15110,Maina Dispensary,24137
13893,Nyamagwa Health Centre,24136
14394,CMF Aitong Health Centre,24135
18738,Aga Khan University Hospital(Machakos),24134
21265,Mananga Dispensary,24130
18260,Emali model health Centre,24127
13919,Nyandago Koweru Dispensary,24126
14596,Jfk Engineering Dispensary,24125
19320,Mulatya Memorial Hospital (Makindu),24123
18140,Ponya Surgicals Nursing Home,24122
18143,Ponya Medical Clinic,24117
19327,Irmarba Mission Dispensary,24115
13931,Nyanko Health Centre,24112
14965,Koilot Health Centre,24102
14256,Biretwa health centre,24099
17862,Mainland Health Centre (Changamwe),24098
18600,Salgaa Intergrated VCT,24094
14455,Endebess Sub- County Hospital,24092
20493,Makhonge Dispensary,24082
17589,Live With Hope Dispensary,24079
14104,St Clare Bolo Health Centre,24073
15003,Kwanza Sub County Hospital,24069
18336,Keragia Health Centre,24067
20839,Impact Health Care,24066
18722,Radienya Dispensary,24064
15381,Nzoia Health Centre,24061
17528,Matibabu Nzoia Clinic,24053
14832,Kericho Forest Dispensary,24052
20484,Kongoli Dispensary,24051
14521,GK Prisons Dispensary (Kericho),24047
13899,Nyamarimba Sub County Hospital,24044
18530,Ragwe Dispensary,24038
17411,Mama Lucy Kibaki Hospital (Embakasi),24014
13978,Ombek Health Centre,24013
12309,Kilala Health Centre,24012
15007,Lamuria Dispensary (Laikipia East),24011
17439,Lieta Health Centre (Rarieda),24002
15240,Mt Elgon National Park Dispensary,24001
20003,Mee Like Majengo,23999
18187,Mahandakini Dispensary,23985
17979,Shalom Community Hospital (Athi River),23981
19719,Swop Kawangware,23980
18550,Maseki Dispensary ( Kitui West),23978
16979,Emusire Sub County Hospital,23975
10388,Kabare Health Centre,23974
14857,Kibwareng Health Centre,23969
14923,Kiptagich Health Centre,23968
17757,Baraka Hospital,23963
18952,Siana Community Hospital,23958
13962,Ogande Dispensary,23952
14351,Chepkunyuk Dispensary,23945
17725,Gertrude Komarock Clinic,23935
17017,Kokotoni Dispensary,23933
21037,Busagwa Dispensary,23931
14230,Baraka Maternity Home,23927
18005,South B Hospital LTD,23926
14025,Raganga Health Centre,23925
15196,Mogoon Dispensary,23924
19928,Got Kachola Dispensary,23905
13948,Nyenye Misori Dispensary,23887
12252,Kauma Health Centre,23883
20499,Kanyangi Dispensary,23881
18457,Derkale Dispensary,23880
17986,Sango Naitiri Dispensary,23875
17990,Sirakaru Dispensary,23869
17114,Rekeke Model Health Centre,23853
14517,GK Prison Dispensary (Athi River),23850
18217,Family Health Option of Kenya,23847
21021,Siaya County Referral Beyond Zero Mobile Clinic,23842
19146,Thamare Dispensary,23838
15039,Litein Dispensary,23835
14071,Sega Cottage Hospital,23816
21114,Kibabii University Medical Clinic,23814
18852,Lumboka medical Services,23811
11711,Ngao Sub County Hospital,23802
17822,Miritini (MCM) Dispensary,23793
16992,Nzangathi Health Centre,23786
14099,Sosera Health Centre,23785
15277,Nairagie-Enkare Health Centre,23782
17111,Mashambani Health Centre,23781
14021,Rachar Sugar Belt Hospital,23780
20888,Kawala Dispensary (Mwingi Central),23779
17266,Meru National Polytechnic Medical Clinic,23778
17157,Masendebale Dispensary,23773
17613,Miu Dispensary,23770
17068,Antubetwe Njoune Dispensary,23769
19505,Medanta Africare Medical Centre (Waiyaki way),23768
14632,Kabunyeria Health Centre,23767
11475,Kilifi Plantation Dispensary,23766
14650,Kajiado (AIC) Dispensary,23764
18145,Sikusi Dispensary,23761
19597,Health Source Medical Centre,23755
15209,Moi's Bridge Health Centre,23753
18351,Meridian Medical Centre (Mombasa),23752
20364,Ringa Dispensary,23742
12394,Kwa Mutonga Health Centre,23738
14801,Karagita Health Centre,23726
20030,Aina Dispensary,23719
19422,Starehe Boys Centre Medical Clinic,23718
14446,Emining Health Centre,23716
14425,Eburru Dispensary,23702
14008,Oyani (SDA) Dispensary,23699
14300,Cheborgei Health Centre,23695
17242,Kamolo Dispensary,23685
10504,Karumandi Health Centre,23677
14708,Kapkeburu Dispensary,23674
14606,Kabarak Health Centre,23667
15231,Mother Franciscan Mission Health Centre,23661
10049,Baricho Health Centre,23656
20523,Tumaini Dice Dispensary (Kisumu),23651
20964,Kisumu Diagnostic Center,23645
14498,FITC Dispensary,23637
14545,Hekima Dispensary,23634
17182,Givole Dispensary,23625
13902,Nyamasi Dispensary,23623
16983,Hope Compassionate (ACK) Dispensary,23615
14424,Dundori Health Centre,23611
14304,Chebunyo Dispensary,23608
18211,Railways Dispensary (Mombasa),23607
16114,Eshimukoko Health Centre,23606
18519,Mulot Health Centre (Bomet),23604
14720,Kapkoi Health Centre (Kwanza),23600
20921,Ikhanyi Dispensary,23599
17560,Njabini Catholic Dispensary,23593
14721,Kapkoi Health Centre,23587
17490,Nazareth Hospital (Ruiru),23576
17966,The Omari Project VCT Centre,23560
18120,Buburi Community Health Clinic,23557
14136,Suna Ragana Dispensary,23556
13871,Nyagesenda Dispensary,23554
13912,Nyamira County Refferal Hospital,23553
13994,Orwaki Dispensary,23550
13913,Kinara Hospital,23549
15999,Manyala Sub County Hospital,23544
20698,Lolkuta North Dispensary,23543
12819,Tyaa Kamuthale Health Centre,23542
15281,Naivasha Maximum Prison Health Centre,23540
13894,Nyamaiya Health Centre,23535
14146,Tinga Health Centre,23530
13916,Nyamusi Sub-District Hospital,23523
21247,Magao Dispensary,23522
16980,Kenyambi Health Centre (Nyamira),23513
20141,Kenyenya Health Centre (Nyamira),23512
13964,Ogango Health Centre,23492
16988,Nyangweta Health Centre,23491
16984,Motonto Health Centre,23488
13826,Motontera Dispensary,23482
17301,Kaplamai Dispensary,23481
15065,Lokusero Dispensary,23476
20072,Melchizedek Hospital Karen,23467
13298,Balambala Sub-District Hospital,23458
14306,Chegilet Health Centre,23439
17116,Luuya Dispensary,23438
20562,Mamlaka medical centre,23432
17121,Mama Plister Blair Health Centre,23414
20924,Oasis Doctors Plaza-Nyamira,23409
17606,Muthue Dispensary,23408
13924,Nyangena Sub County Hospital,23407
14536,Grassland Dispensary,23400
20138,Menengai Dispensary,23399
17193,Bituyu Dispensary,23397
19984,Egetuki GOK Dispensary,23387
17403,Tulwet Dispensary,23380
14135,Suna Rabuor Dispensary,23379
15112,Maji Moto Dispensary,23378
13975,Olasi Dispensary,23371
20560,Iriuko Ria Ng'ombe,23370
14413,Dr Manyara Clinic,23367
14613,Kabianga Health Centre,23366
14834,Kericho Nursing Home,23362
16989,Kiang'inda Health Centre,23359
14048,Riechieri Health Centre,23357
12134,Kakeani Health Centre,23349
21129,Oasis Care Centre Andapol Clinic Awendo,23348
13882,Nyakegogi Dispensary,23345
14332,Chepchoina Dispensary,23343
18899,Muthale Mission Hospital Satelite Clinic,23336
20732,Kalyambeu Dispensary,23334
13903,Nyamasibi Sub-County Hospital,23330
18212,Kenya Ports Authority Medical Clinic,23323
20257,Matulani Dispensary,23320
18330,Mavindu Dispensary,23313
20483,Ranje Dispensary,23306
13917,Nyanchonori Dispensary,23304
17658,Marimanti Medical Clinic,23297
18320,Ligala dispensary,23293
11531,Mackinon Road Dispensary,23291
20189,Dagoretti Community Dispensary,23288
16801,Al-Gadhir Clinic,23285
18885,Family Heritage Health Services,23282
10517,Kenya Police College Dispensary,23276
14453,Enabelbel Health Centre,23275
20954,Crystal Cottage Hospital,23266
10565,Kianyaga Sub-County Hospital,23256
14114,St Kizito Health Centre,23255
20094,Kuira District Disability Network Kuria-Isebania HTC Centre,23246
12391,Kunene Health Centre,23234
21248,Naibor Dispensary,23228
17581,Manyatta Dispensary,23214
18415,The Hope Medical Centre-Awasi,23212
14738,Kaplelartet Dispensary,23211
20486,Magonoi Dispensary,23201
14935,Kipwastuiyo Health Centre,23198
20264,Nairobi East Hospital Limited,23197
14467,Entarara Health Centre,23195
12638,Ndiuni Health Centre,23190
20659,Katulu Dispensary,23188
18959,Mogotio Medical Clinic (Berur),23182
15165,Mbogoini Dispensary,23169
21001,Kericho County Beyond Zero Mobile Clinic,23156
15168,Megwara Dispensary,23149
13867,Nyacheki Sub County Hospital,23145
20806,Nthunguni Dispensary (Kibwezi East),23140
14142,Taracha Health Centre,23137
20012,Mama Nursing Home,23136
14825,Kemeloi Health Centre,23135
13862,Nyabokarange Dispensary,23133
10556,Kiangai Health Centre,23131
15183,Metta Dispensary,23130
17287,Mboroga Dispensary,23127
18784,Medicatia Hospital,23124
20383,Radiant Group of Hospital (Kiambu),23116
17219,Kasphat Dispensary,23108
18563,Chemwa Bridge Dispensary,23104
13998,Otacho Dispensary,23103
18610,Atela Health Centre,23102
16922,Ndunduni Dispensary,23096
21187,Matisi Dispensary,23095
19269,Ilbissil Medical Clinic,23092
14824,Kedowa Dispensary,23087
15185,Mile 46 Health Centre,23080
20443,Equator Clinic,23079
15089,St Elizabeth Lorugum Health Centre,23075
12565,Mukuyuni Sub County Hospital,23069
18461,The Kitui Marternity and Nursing Home,23067
19432,Mariakani Cottage Hospital (Utawala),23064
14710,Kapkelelwa Dispensary,23059
19019,Mephi Medical Clinic,23058
14951,Kitengela Medical Services,23056
17382,Kathelwa Dispensary,23055
13908,Nyamemiso Dispensary,23050
13989,Ongo Health Centre,23049
17530,Umer Dispensary,23047
12169,Kamuwongo Health Centre,23045
14054,Riotanchi Health Centre,23043
13872,Nyagiki Dispensary,23040
15498,Roret Sub-District Hospital,23033
17527,Kambare Dispensary,23030
15710,Tarakwa Health centre,23022
17441,Uvete Health Centre,23019
18524,Kimuchul dispensary,23002
14243,Barwessa Health Centre,23000
17067,Antubochiu Dispensary,22999
16971,Kagunduini Dispensary,22996
17883,Munyange Gikoe Dispensary,22990
14609,Kabartonjo Referral Hospital,22986
18463,Mukuru Health Centre,22985
14134,Suna Nursing and Maternity Home,22980
18346,Kamukuywa Dispensary,22979
14037,Rapcom Nursing and Maternity Home,22977
13996,Osingo Dispensary,22976
17466,Mercy Health Centre,22974
20919,Lenmek Hospital,22973
14244,Base Medical Centre,22972
14014,Pastor Machage Memorial Hospital,22965
21106,Mbale Specialist Health Centre,22962
17680,Osieko Dispensary,22958
18976,Kitengela Medical Services (Kajiado),22954
14485,Ewaso Ngiro Health Centre,22950
20116,Amurt Health Care Centre,22949
11130,Ucheru Community Health Centre,22945
14362,Chepsir Dispensary,22943
14633,Kabutii-Matiret Dispensary,22942
17139,Kapsuser Dispensary,22941
14552,Huruma Dispensary,22938
13938,Nyansira Health Centre,22936
20113,Kioge Dispensary,22933
21096,Keringet Dispensary,22930
14970,Koiwa Health Centre,22927
13937,Nyansiongo Nursing Home,22926
17138,Kapsoit Dispensary,22925
16806,Lereshwa Dispensary,22924
14141,Tamu Health Centre,22912
14131,Suguta Health Centre,22906
17860,Silibwet Dispensary,22900
12654,Ngomeni Health Centre,22896
20331,Ramula Dispensary,22888
18200,Kalimoni Hospital,22887
17170,Tala Health Centre,22883
12848,Wingemi Health Centre,22881
12479,Masyungwa Health centre,22880
14920,Kipsonoi Health Centre,22876
14289,Chebangang Health Centre,22873
17083,Kembu Dispensary,22863
10462,Kangaita Health Centre,22860
17147,Kikumini Dispensary (Makueni),22859
14083,Sieka Health Centre,22849
19933,Mutwangombe Dispensary,22848
